"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica que el hilo del spinner se detiene correctamente cuando ocurre un error en el programa, asegurando que no permanezca activo.","1104","Test Spinner Stops on Error","tests","Wed Apr 16 00:56:06 COT 2025","failed","Wed Apr 16 00:56:07 COT 2025","","test_00_spinner","",""
"Verifica que el método login devuelve False cuando la base de datos devuelve None, simulando un error en la base de datos.","1","Test Login with None Database","tests","Wed Apr 16 00:56:07 COT 2025","broken","Wed Apr 16 00:56:07 COT 2025","","test_01_authentication","",""
"Verifica que el método login lanza ValueError cuando se proporcionan tipos de datos inválidos (no cadenas) para usuario o contraseña.","0","Test Login with Invalid Types","tests","Wed Apr 16 00:56:07 COT 2025","passed","Wed Apr 16 00:56:07 COT 2025","","test_01_authentication","",""
"Verifica que la función getData maneja correctamente errores de conexión, devuelve False y no crea un archivo Excel.","1","Test Connection Error Handling","tests","Wed Apr 16 00:56:08 COT 2025","broken","Wed Apr 16 00:56:08 COT 2025","","test_02_request","",""
"Verifica que el método AnalizeData lanza KeyError cuando el DataFrame no contiene las columnas requeridas para el análisis.","1","Test Data Analysis with Missing Columns","tests","Wed Apr 16 00:56:09 COT 2025","passed","Wed Apr 16 00:56:09 COT 2025","","test_03_analytics","",""
"Verifica que la función getData maneja correctamente una respuesta con datos JSON inválidos, devuelve False y no crea un archivo Excel.","2","Test Invalid JSON Handling","tests","Wed Apr 16 00:56:08 COT 2025","passed","Wed Apr 16 00:56:08 COT 2025","","test_02_request","",""
"Verifica que el método login maneja correctamente credenciales muy largas, aunque debería fallar por motivos de seguridad (caso de borde).","0","Test Login with Very Long Credentials","tests","Wed Apr 16 00:56:07 COT 2025","passed","Wed Apr 16 00:56:07 COT 2025","","test_01_authentication","",""
"Verifica que la función getData maneja correctamente una respuesta HTTP con error (código 404), devuelve False y no crea un archivo Excel.","1","Test Error Response Handling","tests","Wed Apr 16 00:56:08 COT 2025","passed","Wed Apr 16 00:56:08 COT 2025","","test_02_request","",""
"Verifica que la función create_scatter_plot genera correctamente un gráfico de dispersión (duración vs. distancia) en formato PNG y lo retorna como un buffer BytesIO.","65","Test Scatter Plot Creation","tests","Wed Apr 16 00:56:09 COT 2025","passed","Wed Apr 16 00:56:09 COT 2025","","test_04_report","",""
"Verifica que el método login devuelve False y no establece una sesión cuando se proporcionan credenciales inválidas.","0","Test Failed Login","tests","Wed Apr 16 00:56:07 COT 2025","passed","Wed Apr 16 00:56:07 COT 2025","","test_01_authentication","",""
"Verifica que el método login lanza ValueError cuando se proporcionan valores None para usuario y contraseña.","0","Test Login with None Values","tests","Wed Apr 16 00:56:07 COT 2025","passed","Wed Apr 16 00:56:07 COT 2025","","test_01_authentication","",""
"Verifica que el método logout cierra la sesión correctamente después de un login exitoso.","0","Test Logout","tests","Wed Apr 16 00:56:07 COT 2025","passed","Wed Apr 16 00:56:07 COT 2025","","test_01_authentication","",""
"Verifica que la función report genera correctamente un archivo PDF con todos los componentes (tablas, gráficos, estadísticas) y que el archivo es válido y no está vacío.","847","Test Full Report Generation","tests","Wed Apr 16 00:56:09 COT 2025","passed","Wed Apr 16 00:56:10 COT 2025","","test_04_report","",""
"Verifica que el método AnalizeData lanza ValueError para coordenadas inválidas (None). El módulo falla al reemplazar NaN por 0, lo que debería corregirse.","12","Test Data Analysis with Invalid Coordinates","tests","Wed Apr 16 00:56:09 COT 2025","failed","Wed Apr 16 00:56:09 COT 2025","","test_03_analytics","",""
"Verifica que la función getData maneja correctamente errores de escritura de archivo (por ejemplo, directorio de solo lectura), devuelve False y no crea un archivo Excel.","367","Test File Write Error Handling","tests","Wed Apr 16 00:56:08 COT 2025","failed","Wed Apr 16 00:56:08 COT 2025","","test_02_request","",""
"Verifica que el método login funciona correctamente con una base de datos simulada (mock) y valida las llamadas a los métodos de la base de datos.","0","Test Login with Mock Database","tests","Wed Apr 16 00:56:07 COT 2025","passed","Wed Apr 16 00:56:07 COT 2025","","test_01_authentication","",""
"Verifica que el método login lanza ValueError cuando se proporcionan cadenas vacías como usuario y contraseña.","0","Test Login with Empty Strings","tests","Wed Apr 16 00:56:07 COT 2025","failed","Wed Apr 16 00:56:07 COT 2025","","test_01_authentication","",""
"Verifica que la función getData obtiene datos correctamente de una respuesta HTTP exitosa, guarda los datos en un archivo Excel y devuelve True.","778","Test Successful Data Retrieval","tests","Wed Apr 16 00:56:07 COT 2025","passed","Wed Apr 16 00:56:08 COT 2025","","test_02_request","",""
"Verifica la integración completa del sistema desde main.py, incluyendo: 1. Autenticación simulada con entradas de usuario, 2. Obtención de datos mediante una respuesta HTTP mock, 3. Análisis de datos con Analytics, 4. Generación de un reporte PDF con un logo simulado, 5. Verificación de mensajes en consola y existencia del reporte.","814","Test Full System Integration from Main","tests","Wed Apr 16 00:56:15 COT 2025","passed","Wed Apr 16 00:56:16 COT 2025","","test_pruebasIntegrales","",""
"Verifica que el método AnalizeData maneja un DataFrame vacío, aunque el módulo no lo procesa correctamente y puede fallar. Debería retornar resultados vacíos.","3","Test Data Analysis with Empty DataFrame","tests","Wed Apr 16 00:56:08 COT 2025","broken","Wed Apr 16 00:56:08 COT 2025","","test_03_analytics","",""
"Verifica que el hilo del spinner no se inicia si no se llama al método start, asegurando que join no cause errores.","0","Test Spinner Join Without Starting Thread","tests","Wed Apr 16 00:56:06 COT 2025","broken","Wed Apr 16 00:56:06 COT 2025","","test_00_spinner","",""
"Verifica que el método login devuelve False cuando la base de datos está vacía y no hay credenciales válidas.","0","Test Login with Empty Database","tests","Wed Apr 16 00:56:07 COT 2025","passed","Wed Apr 16 00:56:07 COT 2025","","test_01_authentication","",""
"Verifica que la función create_distribution_plots genera correctamente histogramas para duración y distancia en formato PNG y los retorna como un buffer BytesIO.","145","Test Distribution Plots Creation","tests","Wed Apr 16 00:56:09 COT 2025","passed","Wed Apr 16 00:56:09 COT 2025","","test_04_report","",""
